,silhouette_score,davies_bouldin_score,calinski_harabasz_score
agglomerative_clustering_c2,0.4044231019006982,1.5695635275028739,605.431163636444
agglomerative_clustering_c3,0.407072203221387,1.1352641328906656,583.6609760956555
agglomerative_clustering_c4,0.16062652631669505,1.5074771292114133,491.0866529200664
birch_c2,0.3795904582298846,1.2950028680250625,601.2779765689072
birch_c3,0.3987343312801164,1.1397377682788363,556.9043428957272
birch_c4,0.19130371465918047,1.6241716988046724,507.37812473244225
kmeans_c2,0.3747845857566491,1.5678477041601049,650.3856797950981
kmeans_c3,0.35044541383724703,1.2596991981595858,683.5454805882258
kmeans_c4,0.1893474496893256,1.6096565946062928,571.9772692318284
minibatch_kmeans_c2,0.38997773422677723,1.3285722335399945,635.5557908021251
minibatch_kmeans_c3,0.23455075050762103,1.5120540039092643,621.1767973035383
minibatch_kmeans_c4,0.32472391007334755,1.4360115013281995,514.5912669666288
spectral_clustering_c2,0.44895631122828933,0.9375858688970141,360.5397936140934
spectral_clustering_c3,0.5505720932154138,0.7173419014080876,97.75187318902972
spectral_clustering_c4,0.48441509522738374,0.619852951038607,37.332400647573735
mean_shift,0.236701632221583,1.1534071010307154,44.01082252302803
optics,-0.36011689776363487,1.6419125988225434,3.7535548764177613
