,agglomerative_clustering_c2,agglomerative_clustering_c3,agglomerative_clustering_c4,birch_c2,birch_c3,birch_c4,kmeans_c2,kmeans_c3,kmeans_c4,minibatch_kmeans_c2,minibatch_kmeans_c3,minibatch_kmeans_c4,spectral_clustering_c2,spectral_clustering_c3,spectral_clustering_c4,mean_shift,dbscan,optics,suspected_bot
Ricoa,0,2,2,1,0,1,0,2,3,0,2,0,1,0,0,0,0,-1,-1
ricki64,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,28,-1
rfloper,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
Resma13,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
renorains19,1,1,0,1,0,1,1,1,0,1,1,3,0,0,0,0,0,-1,-1
renaud220,0,0,1,1,0,1,0,2,1,0,2,3,0,0,0,0,0,-1,-1
remirqt,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
REGCARP57,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Red_Skin,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,39,-1
redscalp68,0,0,1,1,0,3,0,0,2,0,1,0,0,0,0,0,0,-1,-1
WestHHinder,0,2,2,1,0,1,0,0,2,0,1,0,1,0,0,0,-1,-1,-1
Wekos,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
Pepega,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
Pelajas,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Salimo35650,0,0,1,1,0,1,1,1,0,1,1,3,0,0,0,0,0,-1,-1
SSSupasym,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
AAJoelAA,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,32,-1
AAbudAA,0,2,2,1,0,1,0,2,3,0,2,2,1,0,3,1,-1,-1,-1
AA69KK,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
AA100K,0,0,1,0,1,0,1,2,1,1,2,3,0,0,0,0,0,-1,-1
AA-FUCK-AK,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
A719KC,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,-1,-1
A2Lux,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,40,-1
A.Zivkovic,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,16,-1
A.a93,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,24,-1
9RaptoR9,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
93arnak93,0,0,1,0,1,0,1,1,1,1,0,3,0,0,0,0,0,-1,-1
88EXPRESSO88,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
8383grom8383,0,0,1,1,0,1,1,1,1,1,0,3,0,0,0,0,0,-1,-1
83320Piqueat,0,2,2,1,0,3,0,0,2,0,1,0,1,0,0,0,0,-1,-1
7utanK4m0n,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
catcamaur1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
catala1974,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,25,-1
Cashni1988,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
carthief,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,16,-1
carredasdu59,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
CarolineGD,0,0,1,1,0,1,0,0,2,0,1,3,0,0,0,0,0,-1,-1
CarolinAnast,0,2,2,1,0,3,0,0,2,0,1,0,1,0,0,0,0,-1,-1
Caro-lux77,0,2,2,1,0,1,0,0,3,0,2,0,1,0,0,0,0,-1,-1
Carlitusss33,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Carlitss96,0,0,1,1,0,1,0,0,2,0,2,0,0,0,0,0,0,-1,-1
Caralhos51,1,1,0,0,1,0,1,1,1,1,0,3,0,0,0,0,0,-1,-1
Captain-Cook,0,2,2,1,0,1,0,0,3,0,2,0,1,0,0,0,0,-1,-1
Caperu,0,2,2,1,0,3,0,0,2,0,1,0,1,0,0,4,-1,-1,-1
Cantero21,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
Aarrahh01,0,2,2,1,0,3,0,0,2,0,1,0,1,0,0,0,0,56,-1
Abcdf,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,38,-1
Abdelmalik21,0,0,1,1,0,1,0,0,2,0,1,3,0,0,0,0,0,-1,-1
sosofunky21,0,0,1,1,0,1,0,0,2,0,1,3,0,0,0,0,0,-1,-1
Sr.Frank,0,0,1,1,0,1,0,0,2,0,1,3,0,0,0,0,0,-1,-1
spykos70,1,1,0,0,1,0,1,1,1,1,0,3,0,0,0,0,0,-1,-1
Sprimo,0,0,1,1,0,1,1,1,1,1,0,3,0,0,0,0,0,7,-1
Spliff34000,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
spiritus1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Spinthewheel,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,17,-1
Spinandfred,0,0,1,1,0,1,1,0,2,1,1,3,0,0,0,0,0,-1,-1
Speed2125,0,0,1,1,0,3,0,0,2,0,1,3,0,0,0,0,0,-1,-1
SPCFOREVER,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,12,-1
Sparthaak,0,2,2,1,0,1,0,2,3,0,2,2,1,0,3,1,-1,-1,-1
Sowjho,0,0,1,1,0,1,0,2,1,0,2,3,0,0,0,0,0,52,-1
Souflax92,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,22,-1
soufian.elam,0,2,2,1,0,1,0,0,3,0,2,0,1,0,0,0,0,67,-1
Soso84800,1,1,0,0,1,0,1,1,1,1,0,3,0,0,0,0,0,-1,-1
Abe60,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,15,-1
AGA-MARK,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
AFishIsAFish,1,1,0,0,1,0,1,1,1,1,0,3,0,0,0,0,0,-1,-1
aerofagia,0,0,1,1,0,1,1,1,1,1,0,3,0,0,0,0,0,-1,-1
Adrs99,0,2,2,1,0,3,0,0,2,0,2,0,1,0,0,0,0,-1,-1
Adriaced42,0,0,1,1,0,1,0,0,2,0,1,3,0,0,0,0,0,-1,-1
Adelante135,0,2,2,1,0,1,0,0,3,0,2,0,1,0,0,0,0,58,-1
Adad848,0,0,1,1,0,1,1,1,0,1,1,3,0,0,0,0,0,-1,-1
Acteon69,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
acm68170,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Acg79,1,1,0,0,1,0,1,1,1,1,0,3,0,0,0,0,0,49,-1
abrikosas366,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
aberlour9,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,32,-1
abelclAA,0,2,2,1,0,1,0,0,3,0,2,0,1,0,0,0,0,-1,-1
camilo1978,1,1,0,1,0,1,1,1,0,1,1,3,0,0,0,0,0,-1,-1
CameraClub,0,2,2,1,0,3,0,0,2,0,1,0,1,0,0,0,0,-1,-1
Camel&WEEDS,1,1,0,0,1,0,1,1,1,1,0,3,0,0,0,0,0,-1,-1
Haiks95,0,0,1,1,0,1,1,1,2,1,1,3,0,0,0,0,0,6,-1
Haussprengir,1,1,0,0,1,0,1,1,1,1,0,3,0,0,0,0,0,-1,-1
hattoulavan,0,2,2,1,0,1,0,2,3,0,2,0,1,0,0,0,0,62,-1
Hatim40,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,11,-1
HarveyL,0,2,2,1,0,3,0,0,2,0,1,0,1,0,0,0,0,-1,-1
HarryTokker,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
harrysonfold,0,0,1,1,0,3,0,0,2,0,1,0,0,0,0,0,0,-1,-1
HANSENTOF59,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,38,-1
Hanenekeke,0,0,1,0,1,0,1,1,0,1,0,3,0,0,0,0,0,-1,-1
hamzoloo,0,0,1,0,1,0,1,1,1,1,0,3,0,0,0,0,0,18,-1
Hamag27,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
Hamadi71,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Hakimono 68,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
hakim-geneve,0,0,1,0,1,0,1,1,1,1,0,3,0,0,0,0,0,-1,-1
Hadji47,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
hazim77,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Habacha131,1,1,0,0,1,0,1,1,0,1,0,3,0,0,0,0,0,-1,-1
H.G_M.T.S,0,2,2,1,0,1,0,2,3,0,2,2,1,0,3,1,-1,-1,-1
H.Caps,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
gyikarton,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Samurvk,0,2,2,1,0,1,0,0,3,0,2,0,1,0,0,0,0,-1,-1
samproba,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,47,-1
sammy97414,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
samiu2,0,0,1,1,0,1,0,0,2,0,1,3,0,0,0,0,0,1,-1
Samak,0,0,1,1,0,3,1,1,2,1,1,3,0,0,0,0,0,-1,-1
Sam404,0,0,1,1,0,3,0,0,2,0,1,0,0,0,0,0,0,-1,-1
Sam2626,0,0,1,0,1,0,1,1,1,1,0,3,0,0,0,0,0,-1,-1
Sam0618,0,0,1,0,1,0,1,1,1,1,0,3,0,0,0,0,0,-1,-1
SaltyPees199,0,2,2,1,0,1,0,2,3,0,2,2,1,0,0,0,0,-1,-1
Hayden2017,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Cyrillas,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Calypso1804,0,0,1,1,0,1,0,2,1,0,2,3,0,0,0,0,0,-1,-1
